epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,71.1176,0.86755,1.46913,1.26963,0.72122,0.5,0.69047,0.40896,1.65866,1.71239,1.41893,2.95535e-05,2.95535e-05,2.95535e-05
59,72.3972,0.79361,0.84654,1.15887,0.72122,0.5,0.69047,0.40896,1.65866,1.71239,1.41893,2.93887e-05,2.93887e-05,2.93887e-05
60,73.6503,0.95394,0.80493,1.53316,0.82336,0.48901,0.68018,0.39147,1.6898,1.77745,1.43956,2.92003e-05,2.92003e-05,2.92003e-05
61,74.8683,0.63533,0.6744,1.06319,0.82336,0.48901,0.68018,0.39147,1.6898,1.77745,1.43956,2.89884e-05,2.89884e-05,2.89884e-05
62,76.0455,0.71291,0.91337,1.04983,0.82336,0.48901,0.68018,0.39147,1.6898,1.77745,1.43956,2.87529e-05,2.87529e-05,2.87529e-05
63,77.404,0.76957,0.83017,1.15171,0.82205,0.48924,0.67939,0.39133,1.68606,1.82429,1.44271,2.84938e-05,2.84938e-05,2.84938e-05
64,78.6392,0.6284,0.65408,1.06664,0.82205,0.48924,0.67939,0.39133,1.68606,1.82429,1.44271,2.82112e-05,2.82112e-05,2.82112e-05
65,79.9295,0.66679,0.66069,1.22248,0.82205,0.48924,0.67939,0.39133,1.68606,1.82429,1.44271,2.7905e-05,2.7905e-05,2.7905e-05
66,81.1424,0.67934,0.92179,1.07776,0.82857,0.48868,0.59705,0.33257,1.68179,1.89474,1.43925,2.75753e-05,2.75753e-05,2.75753e-05
67,82.3201,0.73675,1.09887,1.09952,0.82857,0.48868,0.59705,0.33257,1.68179,1.89474,1.43925,2.7222e-05,2.7222e-05,2.7222e-05
68,83.5209,1.06167,1.78365,1.41487,0.82857,0.48868,0.59705,0.33257,1.68179,1.89474,1.43925,2.68451e-05,2.68451e-05,2.68451e-05
69,84.8639,0.63047,1.10157,1.12373,0.84461,0.48649,0.55708,0.28717,1.74335,1.93746,1.45037,2.64447e-05,2.64447e-05,2.64447e-05
70,86.0129,0.97911,0.86686,1.42957,0.84461,0.48649,0.55708,0.28717,1.74335,1.93746,1.45037,2.60207e-05,2.60207e-05,2.60207e-05
71,87.183,0.96484,1.30404,1.32106,0.84461,0.48649,0.55708,0.28717,1.74335,1.93746,1.45037,2.55731e-05,2.55731e-05,2.55731e-05
72,88.4863,0.60204,0.6473,1.07874,0.8526,0.4782,0.55755,0.27529,1.73958,1.96896,1.45213,2.5102e-05,2.5102e-05,2.5102e-05
73,89.6487,0.69735,0.92786,1.05356,0.8526,0.4782,0.55755,0.27529,1.73958,1.96896,1.45213,2.46073e-05,2.46073e-05,2.46073e-05
74,90.829,0.72662,0.60137,1.21831,0.8526,0.4782,0.55755,0.27529,1.73958,1.96896,1.45213,2.40891e-05,2.40891e-05,2.40891e-05
75,92.0111,0.743,0.55912,1.13634,0.83713,0.48337,0.59927,0.28861,1.69897,1.93649,1.43884,2.35472e-05,2.35472e-05,2.35472e-05
76,93.2924,0.6357,0.74486,1.13385,0.83713,0.48337,0.59927,0.28861,1.69897,1.93649,1.43884,2.29819e-05,2.29819e-05,2.29819e-05
77,94.5618,0.69194,0.66454,1.1164,0.83713,0.48337,0.59927,0.28861,1.69897,1.93649,1.43884,2.23929e-05,2.23929e-05,2.23929e-05
78,95.7774,0.87478,1.02783,1.19049,0.84084,0.47638,0.59929,0.27196,1.72202,1.93839,1.45372,2.17805e-05,2.17805e-05,2.17805e-05
79,97.1218,0.60346,0.8039,1.10117,0.84084,0.47638,0.59929,0.27196,1.72202,1.93839,1.45372,2.11444e-05,2.11444e-05,2.11444e-05
80,98.3532,0.68356,0.71099,1.15256,0.84084,0.47638,0.59929,0.27196,1.72202,1.93839,1.45372,2.04848e-05,2.04848e-05,2.04848e-05
81,99.664,0.51802,0.50261,0.9754,0.83569,0.47183,0.55745,0.26896,1.72188,1.97361,1.46261,1.98016e-05,1.98016e-05,1.98016e-05
82,100.893,0.79639,0.67637,1.13591,0.83569,0.47183,0.55745,0.26896,1.72188,1.97361,1.46261,1.90949e-05,1.90949e-05,1.90949e-05
83,102.167,0.76877,0.83145,1.19016,0.83569,0.47183,0.55745,0.26896,1.72188,1.97361,1.46261,1.83646e-05,1.83646e-05,1.83646e-05
84,103.462,0.79368,0.57374,1.21264,0.81466,0.48591,0.59928,0.27002,1.70414,1.99933,1.45862,1.76107e-05,1.76107e-05,1.76107e-05
85,104.66,0.59101,0.75874,1.11885,0.81466,0.48591,0.59928,0.27002,1.70414,1.99933,1.45862,1.68333e-05,1.68333e-05,1.68333e-05
86,105.891,0.73688,0.64449,1.09841,0.81466,0.48591,0.59928,0.27002,1.70414,1.99933,1.45862,1.60323e-05,1.60323e-05,1.60323e-05
87,107.192,0.77114,0.79926,1.05747,0.81466,0.48591,0.59928,0.27002,1.70414,1.99933,1.45862,1.52077e-05,1.52077e-05,1.52077e-05
88,108.47,0.86071,0.91455,1.40626,0.84183,0.48373,0.57149,0.26915,1.6977,2.02936,1.45533,1.43596e-05,1.43596e-05,1.43596e-05
89,109.693,0.94529,0.96417,1.44728,0.84183,0.48373,0.57149,0.26915,1.6977,2.02936,1.45533,1.34879e-05,1.34879e-05,1.34879e-05
90,110.935,0.68756,0.626,1.03511,0.84183,0.48373,0.57149,0.26915,1.6977,2.02936,1.45533,1.25927e-05,1.25927e-05,1.25927e-05
91,112.194,0.45979,0.51291,0.89035,0.84183,0.48373,0.57149,0.26915,1.6977,2.02936,1.45533,1.16739e-05,1.16739e-05,1.16739e-05
92,113.515,0.69267,0.68983,0.98885,0.84801,0.46779,0.54845,0.29386,1.71099,1.97199,1.42366,1.07315e-05,1.07315e-05,1.07315e-05
93,114.851,0.48048,0.45761,0.98612,0.84801,0.46779,0.54845,0.29386,1.71099,1.97199,1.42366,9.76562e-06,9.76562e-06,9.76562e-06
94,116.011,0.54952,0.45689,0.88591,0.84801,0.46779,0.54845,0.29386,1.71099,1.97199,1.42366,8.77613e-06,8.77613e-06,8.77613e-06
95,117.175,0.44759,0.44317,0.90485,0.84801,0.46779,0.54845,0.29386,1.71099,1.97199,1.42366,7.76308e-06,7.76308e-06,7.76308e-06
96,118.362,0.45216,0.52478,0.96292,0.82943,0.46667,0.55774,0.29029,1.67143,1.89724,1.40844,6.72648e-06,6.72648e-06,6.72648e-06
97,119.529,0.67033,0.63486,1.02474,0.82943,0.46667,0.55774,0.29029,1.67143,1.89724,1.40844,5.6663e-06,5.6663e-06,5.6663e-06
98,120.777,0.52034,0.49812,0.91257,0.82943,0.46667,0.55774,0.29029,1.67143,1.89724,1.40844,4.58257e-06,4.58257e-06,4.58257e-06
99,121.978,0.47125,0.47465,0.91064,0.82943,0.46667,0.55774,0.29029,1.67143,1.89724,1.40844,3.47528e-06,3.47528e-06,3.47528e-06
100,123.198,0.55045,0.50122,0.9956,0.83454,0.46667,0.58061,0.3317,1.7091,1.79682,1.4212,2.34442e-06,2.34442e-06,2.34442e-06
